class_accuracy,class_loss,loss,minutes_loss,minutes_mae,val_class_accuracy,val_class_loss,val_loss,val_minutes_loss,val_minutes_mae,learning_rate
0.5296103954315186,0.8182730674743652,2516.41845703125,2514.816650390625,49.4613037109375,0.8060606122016907,0.6802031993865967,1972.5987548828125,1971.0333251953125,43.81840133666992,0.0010000000474974513
0.6796103715896606,0.6000447869300842,1410.0594482421875,1408.3516845703125,36.566741943359375,0.8048484921455383,0.5124066472053528,679.4617309570312,678.5588989257812,25.598041534423828,0.0010000000474974513
0.7249350547790527,0.5261679291725159,343.5920104980469,342.861328125,16.416536331176758,0.8115151524543762,0.41265133023262024,78.20802307128906,77.77894592285156,7.641282558441162,0.0010000000474974513
0.7457143068313599,0.4754100739955902,71.20686340332031,70.95783233642578,6.597209930419922,0.8066666722297668,0.38924095034599304,22.650775909423828,22.377992630004883,3.346195936203003,0.0010000000474974513
0.7644155621528625,0.4424520432949066,52.76369094848633,52.51441192626953,5.567983150482178,0.8151515126228333,0.3809189796447754,21.383419036865234,21.11920166015625,3.2512192726135254,0.0010000000474974513
0.7642857432365417,0.4288102090358734,50.60951232910156,50.39963912963867,5.482210636138916,0.8096969723701477,0.36882656812667847,20.459373474121094,20.239519119262695,3.1728122234344482,0.0010000000474974513
0.7809090614318848,0.4134424924850464,48.55547332763672,48.341705322265625,5.395671367645264,0.8290908932685852,0.36057808995246887,19.82615852355957,19.59714698791504,3.1358766555786133,0.0010000000474974513
0.7789610624313354,0.40846365690231323,47.47798538208008,47.23677062988281,5.295537948608398,0.8218181729316711,0.35679203271865845,20.259403228759766,20.009145736694336,3.1822993755340576,0.0010000000474974513
0.7854545712471008,0.3985274136066437,45.80311584472656,45.592647552490234,5.212088584899902,0.828484833240509,0.3538668751716614,20.227497100830078,19.970197677612305,3.146623373031616,0.0010000000474974513
0.7810389399528503,0.4062998294830322,45.28717041015625,45.07079315185547,5.166380882263184,0.8290908932685852,0.35069704055786133,19.84693145751953,19.608489990234375,3.1172049045562744,0.0010000000474974513
0.7838960886001587,0.40051722526550293,44.14734649658203,43.91484069824219,5.079687118530273,0.846666693687439,0.3453632593154907,19.756107330322266,19.52751922607422,3.0884106159210205,0.0010000000474974513
0.7802597284317017,0.39750534296035767,42.78877258300781,42.59782409667969,5.00210428237915,0.8399999737739563,0.3379145860671997,19.018447875976562,18.78483009338379,3.012075424194336,0.0010000000474974513
0.7836363911628723,0.40185269713401794,41.83387756347656,41.62202453613281,4.963603973388672,0.8454545736312866,0.33430802822113037,18.753353118896484,18.53588104248047,3.024402618408203,0.0010000000474974513
0.7833766341209412,0.39396363496780396,41.66576385498047,41.457176208496094,4.93743896484375,0.8406060338020325,0.3349572718143463,18.773733139038086,18.55870246887207,3.036227226257324,0.0010000000474974513
